dataset,seed,rate,modality,bucket,gaps,mean_gap_length,cumulative_write_mean,cumulative_write_median,cumulative_decay_mean,cumulative_decay_median,error_change_mean,error_change_median,write_per_step_mean,write_per_step_median,overlap_mean_mean,overlap_mean_median,overlap_max_mean,overlap_max_median,overlap_sum_mean,overlap_sum_median
IEMOCAPFour,66,0.1,visual,1,85,1,0.33576461274231617,0.30987418070435524,0.019012054477763527,0.019025668501853943,0.35477666802204005,0.32821940099529456,0.33576461274231617,0.30987418070435524,0.3183224860003547,0.29996695183217525,0.551212749411078,0.5476584434509277,0.3183224860003547,0.29996695183217525
IEMOCAPFour,66,0.1,text,1,102,1,0.2910640171544133,0.2926932906266302,0.018934331754423387,0.018965891329571605,0.3099983490637005,0.311914811420138,0.2910640171544133,0.2926932906266302,0.3388915167751667,0.3550013448111713,0.5706411569434053,0.5859832763671875,0.3388915167751667,0.3550013448111713
IEMOCAPFour,66,0.1,audio,1,107,1,0.3209510150313308,0.2923186826519668,0.018985043608400726,0.018978970125317574,0.33993605848088443,0.31164957939472515,0.3209510150313308,0.2923186826519668,0.3176582790671839,0.33060585614293814,0.5150918072072145,0.5692592859268188,0.3176582790671839,0.33060585614293814
IEMOCAPFour,66,0.1,audio,2-3,10,2.1,0.4221499209990725,0.42738532030489296,0.022621755744330584,0.02276742912363261,0.44477167647128224,0.45336635342391673,0.19963184292816247,0.21369266015244648,0.26766623098325604,0.2741269070732718,0.5240988820791245,0.531226709485054,0.5626580140786246,0.5918391069862992
IEMOCAPFour,66,0.1,visual,2-3,12,2.1666666666666665,0.43263978346173343,0.4377360618673265,0.01773422126037379,0.016369412885978818,0.450374003447602,0.4563211113854777,0.20414081683136626,0.21886803093366325,0.2911817310571981,0.28614885511342436,0.5565454363822937,0.5533769130706787,0.6321820488277202,0.6381427305750549
IEMOCAPFour,66,0.1,text,2-3,16,2.1875,0.3587812934492831,0.31780928932130337,0.020634710614103824,0.021849456941708922,0.37941600568888134,0.34193794762541074,0.1656754650187698,0.14991955648292787,0.31800895873311674,0.3113430431112647,0.6152079924941063,0.6216433346271515,0.6903762004658347,0.6691693537868559
IEMOCAPFour,66,0.3,audio,2-3,78,2.141025641025641,0.40444730459831846,0.3933224845677614,0.020902043847271647,0.02065207588020712,0.4253493485626817,0.41734495426135254,0.19244999838415852,0.18848325638100505,0.2704155184646957,0.26982523151673377,0.5589631625857109,0.5784596502780914,0.5798035243821617,0.5547533116186969
IEMOCAPFour,66,0.3,visual,1,193,1,0.27800850196587107,0.2828920818865299,0.019102759440936187,0.019142163451761007,0.2971112612154081,0.30119144878699444,0.27800850196587107,0.2828920818865299,0.2898139673359982,0.2795485779643059,0.534449934418955,0.5404992699623108,0.2898139673359982,0.2795485779643059
IEMOCAPFour,66,0.3,text,1,197,1,0.2598377212345468,0.23783853719942272,0.019062838611679938,0.019147938350215554,0.2789005599958086,0.25717316537338775,0.2598377212345468,0.23783853719942272,0.30369756442138945,0.314602492377162,0.5571551982521405,0.5728413462638855,0.30369756442138945,0.314602492377162
IEMOCAPFour,66,0.3,visual,2-3,60,2.2,0.3634054021482977,0.35057844303082675,0.020638982887612657,0.020819918718189,0.3840443853512246,0.3739802080017398,0.16798141727599109,0.1462676899197201,0.2742023546132259,0.2718246693645293,0.5796891927719117,0.6003156900405884,0.6082053003328232,0.5709002832882106
IEMOCAPFour,66,0.3,audio,1,180,1,0.2881594744892532,0.28328633354976773,0.01911497922588347,0.019143177662044764,0.30727445369086326,0.30285047492725425,0.2881594744892532,0.28328633354976773,0.29074240736873536,0.3080270476639271,0.5021324700779385,0.548039585351944,0.29074240736873536,0.3080270476639271
IEMOCAPFour,66,0.3,text,2-3,64,2.265625,0.3861535121613997,0.3408976999344304,0.022090775295509957,0.021490641753189266,0.4082442873605032,0.36269922326755477,0.17275554869108115,0.16008866648189723,0.29310822766698647,0.2973398885806091,0.5998090663924813,0.6050618290901184,0.663771176332375,0.6347822113893926
IEMOCAPFour,66,0.3,text,4-7,4,4.25,0.35113683552481234,0.35349019418936223,0.021887113427510485,0.022630759864114225,0.37302394836478925,0.3741659330735274,0.08181121214292944,0.08837254854734056,0.2614641269487038,0.27516676259692757,0.5347961112856865,0.5437097251415253,1.114157588846865,1.1646689865738153
IEMOCAPFour,66,0.3,audio,4-7,4,4,0.6066469909274019,0.5232568818610162,0.017575868812855333,0.026224354282021523,0.624222859182737,0.5542120136360609,0.15166174773185048,0.13081422046525404,0.2873710018211568,0.26973341755365254,0.6456397473812103,0.6538132131099701,1.1494840072846273,1.0789336702146102
IEMOCAPFour,66,0.3,visual,4-7,4,4,0.6310906858416274,0.6444519872311503,0.013456978078465909,0.01236683374736458,0.6445476675926329,0.6568188249548257,0.15777267146040685,0.16111299680778757,0.33781324040319305,0.3496353240625467,0.6861877888441086,0.709216982126236,1.3512529616127722,1.3985412962501869
IEMOCAPFour,66,0.5,audio,2-3,119,2.2436974789915967,0.35405179163824546,0.3359330613166094,0.02247101003734567,0.02231503394432366,0.37652280224926066,0.3572737822396448,0.16120449871285258,0.15063098073005676,0.25704058869487506,0.2549911695532501,0.553959675321058,0.5827184915542603,0.5743659651347146,0.5543830734677613
IEMOCAPFour,66,0.5,text,1,178,1,0.25541789916846275,0.2276988485828042,0.019145922490730462,0.01917648804374039,0.2745638212272956,0.24690871905113454,0.25541789916846275,0.2276988485828042,0.28818711528869795,0.28192086168564856,0.5421621060270941,0.5658194720745087,0.28818711528869795,0.28192086168564856
IEMOCAPFour,66,0.5,visual,1,175,1,0.2327949490211904,0.23303438816219568,0.019189603967326028,0.019200580660253763,0.25198455296866346,0.2519822689355351,0.2327949490211904,0.23303438816219568,0.2560560144011729,0.2481048828922212,0.5127149535076959,0.515709638595581,0.2560560144011729,0.2481048828922212
IEMOCAPFour,66,0.5,visual,2-3,101,2.3366336633663365,0.3697120848844879,0.35514362156391144,0.022442245232356287,0.021632030606269836,0.39215432986032167,0.37359950033896894,0.16303200681314253,0.15643572186430296,0.25027058209198844,0.2330423460031549,0.5644842226906578,0.5656788349151611,0.5818089235027661,0.5466043881606311
IEMOCAPFour,66,0.5,text,2-3,108,2.3703703703703702,0.40195249265202115,0.388363137608394,0.023883220921831066,0.024685660493560135,0.4258357137566606,0.40866646602444234,0.17188776961479618,0.1662526549771428,0.28611135050416553,0.2883041091263294,0.6135115493778829,0.6261370182037354,0.6759844712645712,0.6610259991139174
IEMOCAPFour,66,0.5,audio,1,175,1,0.2639796327945909,0.24934483948163688,0.019113255219001854,0.01915023964829743,0.2830928880867473,0.26839314587414265,0.2639796327945909,0.24934483948163688,0.2665115342482126,0.2775854831561446,0.4807955781902586,0.5076894760131836,0.2665115342482126,0.2775854831561446
