run,dataset,seed,rate,overlap_bucket,n,overlap_mean,damage_mean,damage_median,damage_positive_fraction,pearson,spearman,conversation_count,conversation_equal_damage_mean
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,"[0,.1)",312,0.05944995396436216,0.038916186205684565,0.02375019621104002,0.8653846153846154,0.4578173673138606,0.5223488078238805,28,0.04446253884816813
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,"[.1,.2)",582,0.15142201058745794,0.12082689375651814,0.10083912685513496,0.9570446735395189,0.17687529241857486,0.21414234682714164,31,0.12601329341582396
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,"[.2,.4)",1102,0.29689887878628696,0.25995719218339275,0.2188446968793869,0.9718693284936479,0.3268207948143427,0.35112535028806763,31,0.2585001131833392
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,"[.4,.6)",832,0.48967306695591944,0.4491414190852083,0.4094904512166977,0.96875,0.2176026276797716,0.2219429635225376,30,0.4435473389984543
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,"[.6,1]",180,0.653966525528166,0.6620559625327587,0.6048468351364136,0.9944444444444445,0.1713438296955065,0.16611006512546683,28,0.6601952559359017
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,"[0,.1)",1327,0.05372171235458888,0.025000053728820467,0.013734370470046997,0.8063300678221552,0.44193336955098017,0.5196977650318779,31,0.025676056288409695
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,"[.1,.2)",1813,0.15201011675287202,0.09450009662937424,0.0822666585445404,0.8874793160507446,0.22541428742548583,0.23025146340258823,31,0.09455086429124998
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,"[.2,.4)",2955,0.28973027005816876,0.21652886097472282,0.1825970709323883,0.9201353637901861,0.2861636881017767,0.2942895860019145,31,0.21579450357781796
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,"[.4,.6)",1971,0.4887455517207832,0.417690622060357,0.3779149055480957,0.9446981227803145,0.16983492655148053,0.18553742458469127,31,0.4227165825075765
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,"[.6,1]",438,0.6568016456142408,0.5969145341040609,0.5507213473320007,0.9611872146118722,0.13185283803431216,0.14931423304972766,30,0.6428108770149609
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,"[0,.1)",2748,0.05129658660103785,0.020022318168411782,0.008980274200439453,0.7398107714701602,0.36262819252340944,0.41518705956465496,31,0.02044185017657581
