dataset,missing_rate,target_modality,missing_count,no_history_count,no_history_ratio
CMUMOSI,0.1,audio,77,1,0.012987012987012988
CMUMOSI,0.1,text,73,2,0.0273972602739726
CMUMOSI,0.1,visual,65,5,0.07692307692307693
