audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=071 train_wf1=0.7594 val_wf1=0.6037 cls=0.5659 jepa=2.3243
epoch=072 train_wf1=0.7833 val_wf1=0.5675 cls=0.5418 jepa=2.3105
epoch=073 train_wf1=0.7870 val_wf1=0.6248 cls=0.5174 jepa=2.2897
epoch=074 train_wf1=0.8005 val_wf1=0.5706 cls=0.4958 jepa=2.2743
epoch=075 train_wf1=0.7825 val_wf1=0.5763 cls=0.5271 jepa=2.2838
epoch=076 train_wf1=0.8061 val_wf1=0.5903 cls=0.4827 jepa=2.2786
epoch=077 train_wf1=0.8056 val_wf1=0.6094 cls=0.4768 jepa=2.2565
epoch=078 train_wf1=0.8217 val_wf1=0.5628 cls=0.4426 jepa=2.2599
epoch=079 train_wf1=0.8415 val_wf1=0.6214 cls=0.4021 jepa=2.2353
epoch=080 train_wf1=0.8369 val_wf1=0.5702 cls=0.4030 jepa=2.2377
epoch=081 train_wf1=0.8406 val_wf1=0.6167 cls=0.3978 jepa=2.2407
epoch=082 train_wf1=0.8439 val_wf1=0.5798 cls=0.3790 jepa=2.2109
epoch=083 train_wf1=0.8462 val_wf1=0.6132 cls=0.3753 jepa=2.2024
epoch=084 train_wf1=0.8609 val_wf1=0.6100 cls=0.3470 jepa=2.1982
epoch=085 train_wf1=0.8665 val_wf1=0.6108 cls=0.3281 jepa=2.1870
epoch=086 train_wf1=0.8682 val_wf1=0.5826 cls=0.3347 jepa=2.1803
epoch=087 train_wf1=0.8786 val_wf1=0.6017 cls=0.3107 jepa=2.1831
epoch=088 train_wf1=0.8730 val_wf1=0.6021 cls=0.3129 jepa=2.1802
epoch=089 train_wf1=0.8717 val_wf1=0.5558 cls=0.3236 jepa=2.1933
epoch=090 train_wf1=0.8659 val_wf1=0.6055 cls=0.3384 jepa=2.1978
epoch=091 train_wf1=0.8700 val_wf1=0.5946 cls=0.3218 jepa=2.1573
epoch=092 train_wf1=0.8815 val_wf1=0.6197 cls=0.2923 jepa=2.1385
epoch=093 train_wf1=0.8829 val_wf1=0.5949 cls=0.2928 jepa=2.1542
epoch=094 train_wf1=0.8965 val_wf1=0.6121 cls=0.2606 jepa=2.1264
epoch=095 train_wf1=0.9109 val_wf1=0.6072 cls=0.2294 jepa=2.1102
epoch=096 train_wf1=0.9066 val_wf1=0.5800 cls=0.2352 jepa=2.0875
epoch=097 train_wf1=0.9204 val_wf1=0.6055 cls=0.2034 jepa=2.0800
epoch=098 train_wf1=0.9136 val_wf1=0.5827 cls=0.2189 jepa=2.0791
epoch=099 train_wf1=0.9209 val_wf1=0.6086 cls=0.1991 jepa=2.0689
epoch=100 train_wf1=0.9222 val_wf1=0.5757 cls=0.1955 jepa=2.0586
