dataset,missing_rate,target_modality,missing_count,no_history_count,no_history_ratio
CMUMOSI,0.1,audio,66,2,0.030303030303030304
CMUMOSI,0.1,text,74,5,0.06756756756756757
CMUMOSI,0.1,visual,65,5,0.07692307692307693
