audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=069 train_wf1=0.7043 validation_wf1=0.5889 cls=0.7131 jepa=2.8201
epoch=070 train_wf1=0.6919 validation_wf1=0.5882 cls=0.7213 jepa=2.8165
epoch=071 train_wf1=0.7151 validation_wf1=0.5972 cls=0.6776 jepa=2.7879
epoch=072 train_wf1=0.7237 validation_wf1=0.5754 cls=0.6673 jepa=2.7666
epoch=073 train_wf1=0.7316 validation_wf1=0.5881 cls=0.6435 jepa=2.7462
epoch=074 train_wf1=0.7308 validation_wf1=0.6035 cls=0.6458 jepa=2.7638
epoch=075 train_wf1=0.7384 validation_wf1=0.5383 cls=0.6178 jepa=2.7301
epoch=076 train_wf1=0.7293 validation_wf1=0.6170 cls=0.6395 jepa=2.7435
epoch=077 train_wf1=0.7537 validation_wf1=0.5876 cls=0.5881 jepa=2.7336
epoch=078 train_wf1=0.7580 validation_wf1=0.6097 cls=0.5943 jepa=2.6981
epoch=079 train_wf1=0.7589 validation_wf1=0.5903 cls=0.5729 jepa=2.7141
epoch=080 train_wf1=0.7703 validation_wf1=0.6289 cls=0.5603 jepa=2.6873
epoch=081 train_wf1=0.7662 validation_wf1=0.5476 cls=0.5652 jepa=2.6835
epoch=082 train_wf1=0.7709 validation_wf1=0.6059 cls=0.5586 jepa=2.7104
epoch=083 train_wf1=0.7653 validation_wf1=0.5865 cls=0.5477 jepa=2.7033
epoch=084 train_wf1=0.7654 validation_wf1=0.5460 cls=0.5690 jepa=2.6963
epoch=085 train_wf1=0.7778 validation_wf1=0.6276 cls=0.5400 jepa=2.6894
epoch=086 train_wf1=0.7875 validation_wf1=0.5633 cls=0.5031 jepa=2.6417
epoch=087 train_wf1=0.7915 validation_wf1=0.6319 cls=0.4997 jepa=2.6560
epoch=088 train_wf1=0.7920 validation_wf1=0.5926 cls=0.4935 jepa=2.6319
epoch=089 train_wf1=0.7775 validation_wf1=0.5543 cls=0.5474 jepa=2.6734
epoch=090 train_wf1=0.7304 validation_wf1=0.5965 cls=0.6827 jepa=2.6818
epoch=091 train_wf1=0.7651 validation_wf1=0.5957 cls=0.5892 jepa=2.6649
epoch=092 train_wf1=0.7924 validation_wf1=0.6165 cls=0.5162 jepa=2.6281
epoch=093 train_wf1=0.7899 validation_wf1=0.5770 cls=0.5113 jepa=2.6449
epoch=094 train_wf1=0.7979 validation_wf1=0.6563 cls=0.4868 jepa=2.6558
epoch=095 train_wf1=0.8108 validation_wf1=0.6036 cls=0.4442 jepa=2.6172
epoch=096 train_wf1=0.8136 validation_wf1=0.6279 cls=0.4626 jepa=2.6378
epoch=097 train_wf1=0.8076 validation_wf1=0.5862 cls=0.4610 jepa=2.6373
epoch=098 train_wf1=0.8157 validation_wf1=0.6037 cls=0.4575 jepa=2.6317
epoch=099 train_wf1=0.8167 validation_wf1=0.6310 cls=0.4393 jepa=2.6165
epoch=100 train_wf1=0.8145 validation_wf1=0.6440 cls=0.4506 jepa=2.6177
