dataset,missing_rate,target_modality,missing_count,no_history_count,no_history_ratio
IEMOCAPFour,0.5,audio,551,21,0.038112522686025406
IEMOCAPFour,0.5,text,563,35,0.06216696269982238
IEMOCAPFour,0.5,visual,560,22,0.039285714285714285
