dataset,missing_rate,target_modality,missing_count,no_history_count,no_history_ratio
CMUMOSI,0.3,audio,204,16,0.0784313725490196
CMUMOSI,0.3,text,205,10,0.04878048780487805
CMUMOSI,0.3,visual,204,7,0.03431372549019608
