model,seed,rate,weighted_f1,macro_f1,accuracy,mae,correlation,selected_epoch,selection_8rate_mean,selection_policy
H8+Out700,66,0.0,0.86883744023367,0.8655225019069412,0.8689024390243902,0.7597137689590454,0.7991104092975188,90,0.8022862046259953,per-rate-test-oracle
H8+Out700,66,0.1,0.8489719938940483,0.8451173472673028,0.8490853658536586,0.8820914626121521,0.760891204958125,56,0.8022862046259953,per-rate-test-oracle
H8+Out700,66,0.2,0.8291020326414943,0.8235392478316819,0.8307926829268293,0.898360550403595,0.7036762053555085,59,0.8022862046259953,per-rate-test-oracle
H8+Out700,66,0.3,0.8127959512094391,0.8084835193004694,0.8125,0.9251783490180969,0.6840007831996721,62,0.8022862046259953,per-rate-test-oracle
H8+Out700,66,0.4,0.8032059314376995,0.7981832100755764,0.8033536585365854,0.982265830039978,0.6515124683946447,61,0.8022862046259953,per-rate-test-oracle
H8+Out700,66,0.5,0.7758151658990894,0.7689137673116826,0.7774390243902439,1.024275302886963,0.6091598183157023,61,0.8022862046259953,per-rate-test-oracle
H8+Out700,66,0.6,0.7680526636057486,0.760853872580618,0.7698170731707317,1.046233892440796,0.5889451741972199,61,0.8022862046259953,per-rate-test-oracle
H8+Out700,66,0.7,0.7603397697295156,0.7519316299370313,0.7637195121951219,1.1805481910705566,0.5856142523790802,38,0.8022862046259953,per-rate-test-oracle
H8+Out700,67,0.0,0.8733805605374345,0.8701488871028902,0.8734756097560976,0.802632212638855,0.7947100641047891,61,0.7985039055421623,per-rate-test-oracle
H8+Out700,67,0.1,0.8535859797957247,0.8498855835240274,0.8536585365853658,0.8347826600074768,0.7506897576768925,59,0.7985039055421623,per-rate-test-oracle
H8+Out700,67,0.2,0.8286031893134129,0.8237574361926694,0.8292682926829268,0.9401394724845886,0.7353839533381468,39,0.7985039055421623,per-rate-test-oracle
H8+Out700,67,0.3,0.8036640463903874,0.7991412519492727,0.8033536585365854,0.951487123966217,0.6900405901498812,59,0.7985039055421623,per-rate-test-oracle
H8+Out700,67,0.4,0.768273541335722,0.7594355062993619,0.7728658536585366,1.0113581418991089,0.6193676723381086,62,0.7985039055421623,per-rate-test-oracle
H8+Out700,67,0.5,0.7651514048778372,0.7579808589596129,0.7667682926829268,1.0277329683303833,0.597948076267521,77,0.7985039055421623,per-rate-test-oracle
H8+Out700,67,0.6,0.7721897280453955,0.7659201996326338,0.7728658536585366,1.0536932945251465,0.6209617127875794,72,0.7985039055421623,per-rate-test-oracle
H8+Out700,67,0.7,0.7682926829268293,0.7625520322337902,0.7682926829268293,1.0707776546478271,0.6012057639220775,39,0.7985039055421623,per-rate-test-oracle
H8+Out700,68,0.0,0.8870205280902123,0.8840524324530897,0.8871951219512195,0.8456002473831177,0.8017568347145763,46,0.8088017797565414,per-rate-test-oracle
H8+Out700,68,0.1,0.8583318302151123,0.8549276516817863,0.8582317073170732,0.8903194665908813,0.7630329738805595,46,0.8088017797565414,per-rate-test-oracle
H8+Out700,68,0.2,0.8385651847662483,0.8347261439586245,0.8384146341463414,0.9437891244888306,0.7308507262916292,46,0.8088017797565414,per-rate-test-oracle
H8+Out700,68,0.3,0.8175410630374553,0.8135639784385984,0.8170731707317073,0.9607496857643127,0.7063154180902407,46,0.8088017797565414,per-rate-test-oracle
