seed,pattern,n_all,n_scored,n_zero_excluded,true_positive,old_wf1,new_wf1,delta_wf1,old_accuracy,new_accuracy,old_correct_to_new_wrong,old_wrong_to_new_correct,net_extra_errors,old_tn,old_fp,old_fn,old_tp,new_tn,new_fp,new_fn,new_tp
66,A,102,99,3,47,0.6732776267659988,0.6159123772866616,-0.05736524947933719,0.6767676767676768,0.6262626262626263,17,12,5,40,12,20,27,24,28,9,38
66,T,129,120,9,54,0.8814889336016096,0.8720508166969146,-0.009438116904694982,0.8833333333333333,0.875,2,1,1,64,2,12,42,65,1,14,40
66,V,122,118,4,46,0.5639005062733876,0.5193444460008404,-0.044556060272547215,0.559322033898305,0.5169491525423728,10,5,5,37,35,17,29,32,40,17,29
66,AT,80,76,4,29,0.7645308924485126,0.7770088150940501,0.012477922645537487,0.7631578947368421,0.7763157894736842,0,1,-1,37,10,8,21,38,9,8,21
66,AV,85,84,1,35,0.6607396870554765,0.6428571428571429,-0.017882544198333572,0.6785714285714286,0.6428571428571429,9,6,3,42,7,20,15,34,15,15,20
66,TV,94,89,5,42,0.8985675122591605,0.9437774753656851,0.04520996310652459,0.898876404494382,0.9438202247191011,0,4,-4,44,3,6,36,45,2,3,39
66,ATV,74,70,4,24,0.8707520345131876,0.8151603498542274,-0.05559168465896025,0.8714285714285714,0.8142857142857143,4,0,4,42,4,5,19,39,7,6,18
67,A,125,121,4,52,0.6049342507022758,0.6047311651110836,-0.00020308559119219805,0.6033057851239669,0.6033057851239669,7,7,0,39,30,18,34,43,26,22,30
67,T,110,105,5,48,0.847311602557384,0.8163082221955225,-0.031003380361861566,0.8476190476190476,0.819047619047619,7,4,3,50,7,9,39,52,5,14,34
67,V,120,119,1,47,0.649345814275077,0.6240943885507543,-0.025251425724322707,0.6638655462184874,0.6218487394957983,20,15,5,59,13,27,20,39,33,12,35
67,AT,81,77,4,34,0.8816897388325959,0.8816897388325959,0.0,0.8831168831168831,0.8831168831168831,2,2,0,41,2,7,27,41,2,7,27
67,AV,85,80,5,30,0.6728278467350244,0.6536458333333334,-0.01918201340169101,0.6875,0.65,8,5,3,42,8,17,13,34,16,12,18
67,TV,85,78,7,35,0.9101218621458502,0.9101218621458502,0.0,0.9102564102564102,0.9102564102564102,0,0,0,40,3,4,31,40,3,4,31
67,ATV,80,76,4,31,0.8689817583732056,0.8293439591488084,-0.03963779922439714,0.868421052631579,0.8289473684210527,4,1,3,39,6,4,27,38,7,6,25
68,A,116,109,7,52,0.7143892864346182,0.6239800198718767,-0.09040926656274151,0.7155963302752294,0.6238532110091743,17,7,10,44,13,18,34,36,21,20,32
68,T,117,116,1,39,0.8437805388803574,0.8628856624319419,0.019105123551584446,0.8448275862068966,0.8620689655172413,3,5,-2,69,8,10,29,68,9,7,32
68,V,105,98,7,41,0.6548272499778394,0.6142123657073822,-0.04061488427045712,0.6632653061224489,0.6122448979591837,12,7,5,45,12,21,20,36,21,17,24
68,AT,92,88,4,41,0.8623444976076555,0.8172303886589602,-0.045114108948695275,0.8636363636363636,0.8181818181818182,4,0,4,44,3,9,32,41,6,10,31
68,AV,88,83,5,37,0.7214125590575795,0.6994076523960766,-0.0220049066615029,0.7228915662650602,0.6987951807228916,7,5,2,36,10,13,24,30,16,9,28
68,TV,90,86,4,38,0.8226609206121708,0.8486086470071125,0.025947726394941695,0.8255813953488372,0.8488372093023255,2,4,-2,44,4,11,27,42,6,7,31
68,ATV,78,76,2,29,0.8557115862373263,0.8825389450928709,0.026827358855544547,0.8552631578947368,0.881578947368421,1,3,-2,41,6,5,24,41,6,3,26
69,A,123,120,3,56,0.7333333333333333,0.6670374490174268,-0.0662958843159065,0.7333333333333333,0.6666666666666666,17,9,8,48,16,16,40,42,22,18,38
69,T,133,126,7,49,0.8888888888888888,0.8961820687600104,0.007293179871121547,0.8888888888888888,0.8968253968253969,1,2,-1,70,7,7,42,72,5,8,41
69,V,125,122,3,48,0.6436171778505434,0.6104623743137957,-0.03315480353674771,0.6475409836065574,0.6311475409836066,9,7,2,55,19,24,24,60,14,31,17
69,AT,70,63,7,26,0.8401837928153718,0.8891760719106286,0.04899227909525683,0.8412698412698413,0.8888888888888888,1,4,-3,33,4,6,20,33,4,3,23
69,AV,77,74,3,35,0.6879952936290965,0.689359496482784,0.0013642028536875461,0.6891891891891891,0.6891891891891891,9,9,0,24,15,8,27,26,13,10,25
69,TV,88,83,5,39,0.8540117918482439,0.8275286018021667,-0.026483190046077243,0.8554216867469879,0.8313253012048193,3,1,2,41,3,9,30,42,2,12,27
69,ATV,70,68,2,24,0.8389562721640381,0.8401384083044983,0.0011821361404601438,0.8382352941176471,0.8382352941176471,3,3,0,38,6,5,19,37,7,4,20
70,A,128,123,5,56,0.5454565641593596,0.6158308365844365,0.07037427242507688,0.5528455284552846,0.6178861788617886,5,13,-8,45,22,33,23,46,21,26,30
70,T,118,110,8,49,0.8322741472342307,0.822380669439493,-0.009893477794737704,0.8363636363636363,0.8272727272727273,3,2,1,58,3,15,34,58,3,16,33
70,V,113,105,8,44,0.6118690118690119,0.5920645181149382,-0.01980449375407367,0.6095238095238096,0.5904761904761905,7,5,2,35,26,15,29,38,23,20,24
70,AT,86,85,1,37,0.8691026647421776,0.8576134453781512,-0.01148921936402636,0.8705882352941177,0.8588235294117647,1,0,1,45,3,8,29,44,4,8,29
70,AV,84,81,3,36,0.6553787569699442,0.6027676027676028,-0.052611154202341415,0.654320987654321,0.6049382716049383,7,3,4,29,16,12,24,23,22,10,26
70,TV,84,81,3,29,0.9148272851976555,0.9144218611296467,-0.00040542406800880837,0.9135802469135802,0.9135802469135802,2,2,0,46,6,1,28,47,5,2,27
70,ATV,73,71,2,26,0.8698326577606738,0.8834966319657072,0.013663974205033402,0.8732394366197183,0.8873239436619719,0,1,-1,43,2,7,19,44,1,7,19
