section,rate,mode,modality,metric,n_seeds,mean,sample_std,positive,zero,negative,sign_flip_p_two_sided
retention,0.3,fixed0.9,visual,err_decay,5,0.15018244416545146,0.008430659247484998,,,,
retention,0.3,fixed0.9,visual,err_post,5,0.31579569397089524,0.015290575434343525,,,,
retention,0.3,fixed0.9,visual,write_damage,5,0.16561324981513162,0.0119797913719582,,,,
retention,0.3,global,audio,decay_damage,5,0.012143793928320538,0.000517489991836363,,,,
retention,0.3,global,audio,err_decay,5,0.11286608493471595,0.007877026154398734,,,,
retention,0.3,global,audio,err_post,5,0.3057933775490557,0.015200447696775728,,,,
retention,0.3,global,audio,write_damage,5,0.19292729255933458,0.008032905303309194,,,,
retention,0.3,global,text,decay_damage,5,0.012986051735728529,0.0005256215817628837,,,,
retention,0.3,global,text,err_decay,5,0.11724314054566348,0.012125932965726637,,,,
retention,0.3,global,text,err_post,5,0.29416301661145894,0.015737612648447624,,,,
retention,0.3,global,text,write_damage,5,0.1769198759306638,0.005775192821752127,,,,
retention,0.3,global,visual,decay_damage,5,0.012282595962309864,0.0004509360918222191,,,,
retention,0.3,global,visual,err_decay,5,0.11517494596243091,0.008882069765163744,,,,
retention,0.3,global,visual,err_post,5,0.30201388971591275,0.013862287996493021,,,,
retention,0.3,global,visual,write_damage,5,0.18683894383758134,0.014840746397358343,,,,
retention,0.3,global-minus-fixed0.9,audio,decay_damage,5,0.004043955055673284,0.00016499787187899221,5,0,0,
retention,0.3,global-minus-fixed0.9,audio,err_decay,5,-0.03803056285069679,0.0034780456695730788,0,0,5,
retention,0.3,global-minus-fixed0.9,audio,err_post,5,-0.01550835595394221,0.0036937363053727917,0,0,5,
retention,0.3,global-minus-fixed0.9,audio,write_damage,5,0.022522206766423115,0.005138312554691702,5,0,0,
retention,0.3,global-minus-fixed0.9,text,decay_damage,5,0.003170619617128868,0.00017221411176199174,5,0,0,
retention,0.3,global-minus-fixed0.9,text,err_decay,5,-0.06035633724873173,0.004349252793385838,0,0,5,
retention,0.3,global-minus-fixed0.9,text,err_post,5,-0.03399922474776228,0.004505602682911678,0,0,5,
retention,0.3,global-minus-fixed0.9,text,write_damage,5,0.026357112373413833,0.00282069428203311,5,0,0,
retention,0.3,global-minus-fixed0.9,visual,decay_damage,5,0.00343607685727328,0.0003601296970445969,5,0,0,
retention,0.3,global-minus-fixed0.9,visual,err_decay,5,-0.03500749820302056,0.006057794946376007,0,0,5,
retention,0.3,global-minus-fixed0.9,visual,err_post,5,-0.013781804254982488,0.003945305664634757,0,0,5,
retention,0.3,global-minus-fixed0.9,visual,write_damage,5,0.02122569402244972,0.004561776403647158,5,0,0,
retention,0.3,protected,audio,decay_damage,5,0.014512183545924241,0.00031879896252978875,,,,
retention,0.3,protected,audio,err_decay,5,0.06705169506295972,0.003221911080554005,,,,
retention,0.3,protected,audio,err_post,5,0.06709469228626484,0.0032234871917020433,,,,
retention,0.3,protected,audio,write_damage,5,4.299722330512647e-05,1.0641203602858894e-05,,,,
retention,0.3,protected,text,decay_damage,5,0.015193775607473736,0.0003657560622198737,,,,
retention,0.3,protected,text,err_decay,5,0.08398901101274762,0.004197198585031578,,,,
retention,0.3,protected,text,err_post,5,0.08403859961187563,0.004197373103238334,,,,
retention,0.3,protected,text,write_damage,5,4.9588599127996e-05,5.908142807117536e-06,,,,
retention,0.3,protected,visual,decay_damage,5,0.01466590674935391,0.0005163196023260311,,,,
retention,0.3,protected,visual,err_decay,5,0.07009841356625054,0.007252457963797024,,,,
retention,0.3,protected,visual,err_post,5,0.07013443853136461,0.0072446621608562725,,,,
retention,0.3,protected,visual,write_damage,5,3.6024965114079975e-05,1.0031257996800855e-05,,,,
retention,0.3,reference,audio,decay_damage,5,0.01409659812318446,0.0005882431047440002,,,,
retention,0.3,reference,audio,err_decay,5,0.10561232533158643,0.009886671862499146,,,,
retention,0.3,reference,audio,err_post,5,0.33032979554586317,0.018362609447422195,,,,
retention,0.3,reference,audio,write_damage,5,0.22471747022577973,0.010029632820218796,,,,
retention,0.3,reference,text,decay_damage,5,0.014593009903056607,0.0006617749299451561,,,,
retention,0.3,reference,text,err_decay,5,0.10226713775622015,0.015079960724263403,,,,
retention,0.3,reference,text,err_post,5,0.3111707841050873,0.019644514075399137,,,,
retention,0.3,reference,text,write_damage,5,0.2089036463132989,0.008127291383993658,,,,
retention,0.3,reference,visual,decay_damage,5,0.013953425351635967,0.0005696259813253758,,,,
retention,0.3,reference,visual,err_decay,5,0.10828461388977945,0.00864943972472781,,,,
retention,0.3,reference,visual,err_post,5,0.3263432791675312,0.014796063017013862,,,,
retention,0.3,reference,visual,write_damage,5,0.2180586652305956,0.01604700898121252,,,,
retention,0.5,fixed0.9,audio,decay_damage,5,0.007480295940278851,0.00036018098552927465,,,,
retention,0.5,fixed0.9,audio,err_decay,5,0.19105941272305396,0.012305577575335262,,,,
retention,0.5,fixed0.9,audio,err_post,5,0.32629206456992466,0.01334513682728599,,,,
retention,0.5,fixed0.9,audio,write_damage,5,0.13523265182631725,0.00525247476090217,,,,
retention,0.5,fixed0.9,text,decay_damage,5,0.009090091713163854,0.00023245828155242935,,,,
retention,0.5,fixed0.9,text,err_decay,5,0.2251347887532941,0.005585007881874211,,,,
retention,0.5,fixed0.9,text,err_post,5,0.3514095999569103,0.012463396154529,,,,
retention,0.5,fixed0.9,text,write_damage,5,0.12627481122152517,0.010828067890556367,,,,
retention,0.5,fixed0.9,visual,decay_damage,5,0.008295361636354647,0.0003966380237501634,,,,
retention,0.5,fixed0.9,visual,err_decay,5,0.18953381273184414,0.007624497539115657,,,,
retention,0.5,fixed0.9,visual,err_post,5,0.3174303919771042,0.013739390701510583,,,,
retention,0.5,fixed0.9,visual,write_damage,5,0.1278965793146215,0.007426786574351094,,,,
retention,0.5,global,audio,decay_damage,5,0.009648684050554277,0.0005331318439886576,,,,
retention,0.5,global,audio,err_decay,5,0.1631032981396587,0.014029404230142747,,,,
retention,0.5,global,audio,err_post,5,0.3081030140695751,0.013225867366319687,,,,
retention,0.5,global,audio,write_damage,5,0.1449997159178747,0.004860066973497799,,,,
retention,0.5,global,text,decay_damage,5,0.010507941425057024,0.0001983709062249861,,,,
retention,0.5,global,text,err_decay,5,0.18577415796243016,0.007488276674795912,,,,
retention,0.5,global,text,err_post,5,0.32262421287496423,0.015962610301822992,,,,
retention,0.5,global,text,write_damage,5,0.13685005495466604,0.008823813984870742,,,,
retention,0.5,global,visual,decay_damage,5,0.009966437174468884,0.0003562217617736535,,,,
retention,0.5,global,visual,err_decay,5,0.163712916519555,0.007386290213632313,,,,
retention,0.5,global,visual,err_post,5,0.29951497524946585,0.014290892259954332,,,,
retention,0.5,global,visual,write_damage,5,0.13580205872369464,0.010067019468382097,,,,
retention,0.5,global-minus-fixed0.9,audio,decay_damage,5,0.002168388110275426,0.00019017782969165504,5,0,0,
