seed,section,rate,mode,modality,metric,value
66,task,0,reference,,accuracy,0.8460918614020951
66,task,0,reference,,macro_f1,0.8379682301353619
66,task,0,reference,,weighted_f1,0.8454389899798852
66,write_audit,0,reference,,applied_norm,9.85891876010694
66,write_audit,0,reference,,global_norm,9.85891876010694
66,write_audit,0,reference,,global_scale,1.0
66,write_audit,0,reference,,norm_mismatch,0.0
66,write_audit,0,reference,,original_norm,9.85891876010694
66,write_audit,0,reference,,protected_norm,9.85891876010694
66,write_fit,0,reference,audio,err_after,0.0016980130011902009
66,write_fit,0,reference,audio,err_before,0.7011426404860744
66,write_fit,0,reference,audio,err_original_after,0.0016980130011902009
66,write_fit,0,reference,audio,fit_gain,0.6994446274848842
66,write_fit,0,reference,text,err_after,0.002519469842487388
66,write_fit,0,reference,text,err_before,1.0452958011662394
66,write_fit,0,reference,text,err_original_after,0.002519469842487388
66,write_fit,0,reference,text,fit_gain,1.042776331323752
66,write_fit,0,reference,visual,err_after,0.001762391734212848
66,write_fit,0,reference,visual,err_before,0.6974541632047503
66,write_fit,0,reference,visual,err_original_after,0.001762391734212848
66,write_fit,0,reference,visual,fit_gain,0.6956917714705374
66,task,0,fixed0.9,,accuracy,0.8444802578565673
66,task,0,fixed0.9,,macro_f1,0.8359231444981616
66,task,0,fixed0.9,,weighted_f1,0.8437706097340507
66,write_audit,0,fixed0.9,,applied_norm,8.579821655813433
66,write_audit,0,fixed0.9,,global_norm,9.533135407687578
66,write_audit,0,fixed0.9,,global_scale,1.0
66,write_audit,0,fixed0.9,,norm_mismatch,0.0
66,write_audit,0,fixed0.9,,original_norm,9.533135407687578
66,write_audit,0,fixed0.9,,protected_norm,9.533135407687578
66,write_fit,0,fixed0.9,audio,err_after,0.06883610797910722
66,write_fit,0,fixed0.9,audio,err_before,0.6750702509742101
66,write_fit,0,fixed0.9,audio,err_original_after,0.0016426702471252377
66,write_fit,0,fixed0.9,audio,fit_gain,0.6062341429951029
66,write_fit,0,fixed0.9,text,err_after,0.10275846410389913
66,write_fit,0,fixed0.9,text,err_before,1.006637091172625
66,write_fit,0,fixed0.9,text,err_original_after,0.0024350501440512143
66,write_fit,0,fixed0.9,text,fit_gain,0.9038786270687258
66,write_fit,0,fixed0.9,visual,err_after,0.06869331204829499
66,write_fit,0,fixed0.9,visual,err_before,0.6735018130088275
66,write_fit,0,fixed0.9,visual,err_original_after,0.001708633155628159
66,write_fit,0,fixed0.9,visual,fit_gain,0.6048085009605325
66,task,0,global,,accuracy,0.8460918614020951
66,task,0,global,,macro_f1,0.8379682301353619
66,task,0,global,,weighted_f1,0.8454389899798852
