dataset,missing_rate,target_modality,history_query_count,distance_mean,distance_median,distance_p90
CMUMOSI,0.1,audio,70,1.1428571428571428,1.0,2.0
CMUMOSI,0.1,text,69,1.144927536231884,1.0,2.0
CMUMOSI,0.1,visual,64,1.078125,1.0,1.0
