dataset,missing_rate,target_modality,missing_count,no_history_count,no_history_ratio
CMUMOSI,0.1,audio,72,2,0.027777777777777776
CMUMOSI,0.1,text,73,4,0.0547945205479452
CMUMOSI,0.1,visual,73,9,0.1232876712328767
