audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=069 train_wf1=0.8788 validation_wf1=0.7660 cls=0.6447 jepa=2.5244
epoch=070 train_wf1=0.8623 validation_wf1=0.7543 cls=0.7274 jepa=2.6093
epoch=071 train_wf1=0.8788 validation_wf1=0.7527 cls=0.7121 jepa=2.5618
epoch=072 train_wf1=0.8700 validation_wf1=0.7658 cls=0.7222 jepa=2.5548
epoch=073 train_wf1=0.8926 validation_wf1=0.7636 cls=0.5725 jepa=2.5180
epoch=074 train_wf1=0.8882 validation_wf1=0.7523 cls=0.6446 jepa=2.5593
epoch=075 train_wf1=0.8580 validation_wf1=0.7655 cls=0.7881 jepa=2.5187
epoch=076 train_wf1=0.8735 validation_wf1=0.7469 cls=0.7206 jepa=2.5778
epoch=077 train_wf1=0.8614 validation_wf1=0.7558 cls=0.6711 jepa=2.4784
epoch=078 train_wf1=0.8846 validation_wf1=0.7829 cls=0.6682 jepa=2.5471
epoch=079 train_wf1=0.8960 validation_wf1=0.7744 cls=0.6091 jepa=2.4705
epoch=080 train_wf1=0.8952 validation_wf1=0.7819 cls=0.5921 jepa=2.4824
epoch=081 train_wf1=0.8852 validation_wf1=0.7766 cls=0.5879 jepa=2.4734
epoch=082 train_wf1=0.8912 validation_wf1=0.7530 cls=0.6099 jepa=2.4946
epoch=083 train_wf1=0.8805 validation_wf1=0.7526 cls=0.5840 jepa=2.4463
epoch=084 train_wf1=0.8772 validation_wf1=0.7659 cls=0.5714 jepa=2.5171
epoch=085 train_wf1=0.8948 validation_wf1=0.7612 cls=0.6343 jepa=2.4514
epoch=086 train_wf1=0.8864 validation_wf1=0.7709 cls=0.6033 jepa=2.5021
epoch=087 train_wf1=0.8811 validation_wf1=0.7493 cls=0.6113 jepa=2.4502
epoch=088 train_wf1=0.8891 validation_wf1=0.7392 cls=0.5850 jepa=2.4905
epoch=089 train_wf1=0.8784 validation_wf1=0.7242 cls=0.6780 jepa=2.4109
epoch=090 train_wf1=0.8767 validation_wf1=0.7408 cls=0.6256 jepa=2.4712
epoch=091 train_wf1=0.8948 validation_wf1=0.7605 cls=0.5518 jepa=2.4268
epoch=092 train_wf1=0.8889 validation_wf1=0.7666 cls=0.6041 jepa=2.4887
epoch=093 train_wf1=0.8857 validation_wf1=0.7735 cls=0.6115 jepa=2.3950
epoch=094 train_wf1=0.8732 validation_wf1=0.7847 cls=0.6681 jepa=2.4610
epoch=095 train_wf1=0.9026 validation_wf1=0.7642 cls=0.5222 jepa=2.3784
epoch=096 train_wf1=0.9041 validation_wf1=0.7687 cls=0.5239 jepa=2.4600
epoch=097 train_wf1=0.9170 validation_wf1=0.7698 cls=0.4506 jepa=2.4013
epoch=098 train_wf1=0.9017 validation_wf1=0.7535 cls=0.5759 jepa=2.4257
epoch=099 train_wf1=0.9124 validation_wf1=0.7651 cls=0.4640 jepa=2.3617
epoch=100 train_wf1=0.8943 validation_wf1=0.7589 cls=0.5663 jepa=2.4450
