rate,Full_OSRAM_mean,Full_OSRAM_std,Local+Base_mean,Local+Base_std,Local+Base_delta,Local+Base_positive_seed_count,Local-only_mean,Local-only_std,Local-only_delta,Local-only_positive_seed_count
0.0,0.8763943809423003,0.0066915432323571685,0.8735838363722053,0.0034342192039337025,-0.002810544570094997,3,0.8715152772882333,0.0025872187941957323,-0.004879103654066963,1
0.1,0.8536500306453889,0.0035715786440516954,0.8489315317123628,0.006288719993258793,-0.004718498933026116,2,0.8414742751854414,0.005919051880985942,-0.012175755459947535,0
0.2,0.8269300146766665,0.010898802373074919,0.8252755024605712,0.011478006312047519,-0.0016545122160952497,2,0.8107483063364868,0.015180032264746316,-0.016181708340179735,1
0.3,0.8143857741263993,0.006513351799745968,0.813874404081294,0.009510275891109709,-0.0005113700451053749,2,0.7892856635180717,0.008889435208506439,-0.02510011060832762,0
0.4,0.7935007104083668,0.015210677518432672,0.7871858384893483,0.019071280911669233,-0.006314871919018472,2,0.7573523759718015,0.013279721713613824,-0.03614833443656529,0
0.5,0.7730039427225339,0.008248215716026045,0.7662152663019034,0.008195280304005634,-0.006788676420630524,1,0.7307916913496005,0.012747356405830476,-0.042212251372933385,0
0.6,0.7680363411567651,0.005347057798016938,0.7600517999204283,0.007616817797114732,-0.00798454123633685,0,0.7261934245294636,0.011742853045459073,-0.04184291662730155,0
0.7,0.7565419197119723,0.01939684490177307,0.7492709283371859,0.019605745114984998,-0.007270991374786373,1,0.708623410983778,0.026885987089368703,-0.04791850872819425,0
