dataset,missing_rate,target_modality,distance_bucket,head_count,err_pre_mean,err_decay_mean,err_post_mean,decay_damage_mean,write_damage_mean,cos_pre_mean,cos_decay_mean,cos_post_mean,norm_ratio_pre_mean,norm_ratio_decay_mean,norm_ratio_post_mean,decay_damage_median,write_damage_median
CMUMOSI,0.5,audio,1,1384,0.0006391075982030793,0.021578642150731703,0.12730442750808713,0.020939534539464497,0.10572578531563433,0.9999998571038935,0.9999998589557719,0.9815114953829719,0.9996861141885636,0.9784276399739905,0.9776571876654735,0.021016028709709644,0.048346275463700294
CMUMOSI,0.5,audio,2-3,936,0.14153019006216788,0.14977062429882523,0.17424261609378916,0.008240434235662349,0.024471991599943392,0.9786036373275276,0.9786036404677563,0.9716566394314042,0.9683901220560074,0.9478021133531872,0.9426940457306356,0.009823083877563477,0.0033944472670555115
CMUMOSI,0.5,audio,4-7,224,0.23192028870939144,0.2403842800163797,0.28329669451341033,0.008463991306988257,0.042912414630076716,0.9463228203323004,0.9463228121167049,0.9237003287001114,0.9136470521667174,0.8942292348614761,0.9007164572498628,0.010538920760154724,0.002491697669029236
CMUMOSI,0.5,audio,8+,8,0.42565078660845757,0.4299532249569893,0.42264942079782486,0.004302438348531723,-0.007303804159164429,0.8330836263485253,0.8330836279783398,0.8466558596119285,0.8488655611872673,0.8308231607079506,0.8310441821813583,0.005113571882247925,-0.007220819592475891
CMUMOSI,0.5,text,1,1352,0.0018672006282198191,0.022554243713639368,0.10653734012002665,0.020687043062031004,0.08398309641052037,0.9999990097340747,0.9999990101308512,0.9912854543716244,0.9987257949611139,0.9774877346126285,0.9505714339441096,0.020750634372234344,0.04348935931921005
CMUMOSI,0.5,text,2-3,896,0.11751530014797547,0.12990580617874262,0.14168559269455727,0.012390506030767159,0.011779786555312708,0.9898033706205231,0.9898033689574471,0.9887694073840976,0.9415335945252862,0.9215156435633877,0.9179100432167095,0.013642746955156326,0.002437988296151161
CMUMOSI,0.5,text,4-7,104,0.13896082728528059,0.15218007403354233,0.1680319607974245,0.013219246748261727,0.01585188676388218,0.9906535899409881,0.990653588794745,0.9873015061020851,0.9126446155401376,0.8932421717506188,0.8924561240352117,0.0136910080909729,0.0054052360355854034
CMUMOSI,0.5,visual,1,1240,0.0010750457078228788,0.021737819241600172,0.20646763696305215,0.020662773522217907,0.18472981776801808,0.9999994134229998,0.9999994169319829,0.9585995641116414,0.9995436136761019,0.9782881627159734,1.0153559413167739,0.020779180340468884,0.07064872235059738
CMUMOSI,0.5,visual,2-3,744,0.21290227489656097,0.21851724747227885,0.2717041835959961,0.005614972575717876,0.053186936098681664,0.9577708013596073,0.9577708054604309,0.944231112617799,1.0085182380612179,0.9870672477509386,1.002816687107727,0.006629530340433121,0.003405362367630005
CMUMOSI,0.5,visual,4-7,216,0.33695916852189434,0.3396620362031239,0.3263004108987473,0.002702867681229556,-0.013361625200896352,0.9230017417834865,0.9230017504758306,0.9254300857859629,0.9882466108710678,0.9672223359898284,0.962540131200243,0.0035206228494644165,-0.0007427632808685303
CMUMOSI,0.5,visual,8+,24,0.4491542677084605,0.45059080980718136,0.5115544175108274,0.0014365420987208684,0.060963607703646026,0.8764160200953484,0.8764159816006819,0.8473042473196983,0.9585255831480026,0.9381367837389311,0.9673061197002729,0.0028468966484069824,0.002965696156024933
