audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.1568 validation_wf1=0.0905 cls=1.9000 jepa=3.5840
epoch=002 train_wf1=0.1720 validation_wf1=0.2405 cls=1.7264 jepa=3.5498
epoch=003 train_wf1=0.2365 validation_wf1=0.2078 cls=1.6088 jepa=3.5191
epoch=004 train_wf1=0.2535 validation_wf1=0.1751 cls=1.6126 jepa=3.5326
epoch=005 train_wf1=0.2123 validation_wf1=0.2825 cls=1.5997 jepa=3.5042
epoch=006 train_wf1=0.2989 validation_wf1=0.3824 cls=1.4725 jepa=3.4811
epoch=007 train_wf1=0.3195 validation_wf1=0.3156 cls=1.4033 jepa=3.4737
epoch=008 train_wf1=0.3017 validation_wf1=0.3213 cls=1.4443 jepa=3.4617
epoch=009 train_wf1=0.3324 validation_wf1=0.3151 cls=1.3576 jepa=3.4875
epoch=010 train_wf1=0.3259 validation_wf1=0.3710 cls=1.2958 jepa=3.5008
epoch=011 train_wf1=0.3528 validation_wf1=0.4062 cls=1.3029 jepa=3.4926
epoch=012 train_wf1=0.4339 validation_wf1=0.4126 cls=1.2619 jepa=3.4593
epoch=013 train_wf1=0.4060 validation_wf1=0.3994 cls=1.2451 jepa=3.4977
epoch=014 train_wf1=0.3928 validation_wf1=0.4466 cls=1.2210 jepa=3.4783
epoch=015 train_wf1=0.4491 validation_wf1=0.4802 cls=1.2079 jepa=3.4653
epoch=016 train_wf1=0.4240 validation_wf1=0.4178 cls=1.1604 jepa=3.4892
epoch=017 train_wf1=0.3975 validation_wf1=0.4702 cls=1.1908 jepa=3.5094
epoch=018 train_wf1=0.4659 validation_wf1=0.4059 cls=1.1623 jepa=3.5075
epoch=019 train_wf1=0.4823 validation_wf1=0.4550 cls=1.1397 jepa=3.5315
epoch=020 train_wf1=0.4815 validation_wf1=0.5035 cls=1.1190 jepa=3.5459
epoch=021 train_wf1=0.5073 validation_wf1=0.4990 cls=1.0943 jepa=3.5193
epoch=022 train_wf1=0.5056 validation_wf1=0.4952 cls=1.0831 jepa=3.5751
epoch=023 train_wf1=0.4904 validation_wf1=0.4784 cls=1.1233 jepa=3.5654
epoch=024 train_wf1=0.4707 validation_wf1=0.3793 cls=1.1560 jepa=3.5783
epoch=025 train_wf1=0.4705 validation_wf1=0.4894 cls=1.1013 jepa=3.5957
epoch=026 train_wf1=0.5015 validation_wf1=0.4973 cls=1.0924 jepa=3.5907
epoch=027 train_wf1=0.5110 validation_wf1=0.4651 cls=1.0556 jepa=3.5915
epoch=028 train_wf1=0.4910 validation_wf1=0.5111 cls=1.0552 jepa=3.5865
epoch=029 train_wf1=0.5355 validation_wf1=0.5059 cls=1.0617 jepa=3.6153
epoch=030 train_wf1=0.5191 validation_wf1=0.4414 cls=1.0373 jepa=3.6021
epoch=031 train_wf1=0.5442 validation_wf1=0.5657 cls=1.0098 jepa=3.6446
epoch=032 train_wf1=0.5350 validation_wf1=0.5803 cls=0.9873 jepa=3.6443
epoch=033 train_wf1=0.5550 validation_wf1=0.5620 cls=1.0128 jepa=3.6087
epoch=034 train_wf1=0.5679 validation_wf1=0.4877 cls=1.0268 jepa=3.5501
epoch=035 train_wf1=0.5436 validation_wf1=0.5152 cls=1.0154 jepa=3.5271
epoch=036 train_wf1=0.5012 validation_wf1=0.5419 cls=1.1226 jepa=3.4996
epoch=037 train_wf1=0.5340 validation_wf1=0.4996 cls=1.0431 jepa=3.5080
epoch=038 train_wf1=0.5606 validation_wf1=0.5694 cls=0.9714 jepa=3.5536
epoch=039 train_wf1=0.5890 validation_wf1=0.5638 cls=0.9481 jepa=3.5526
epoch=040 train_wf1=0.5773 validation_wf1=0.5551 cls=0.9453 jepa=3.5723
epoch=041 train_wf1=0.5969 validation_wf1=0.6016 cls=0.9313 jepa=3.5603
epoch=042 train_wf1=0.5974 validation_wf1=0.5567 cls=0.9095 jepa=3.5602
epoch=043 train_wf1=0.6044 validation_wf1=0.5932 cls=0.9089 jepa=3.5570
epoch=044 train_wf1=0.6165 validation_wf1=0.5860 cls=0.8867 jepa=3.5583
epoch=045 train_wf1=0.6177 validation_wf1=0.5990 cls=0.8928 jepa=3.5309
epoch=046 train_wf1=0.6150 validation_wf1=0.5635 cls=0.8864 jepa=3.5534
epoch=047 train_wf1=0.5705 validation_wf1=0.5278 cls=0.9507 jepa=3.5155
epoch=048 train_wf1=0.6325 validation_wf1=0.5847 cls=0.8748 jepa=3.5068
epoch=049 train_wf1=0.6269 validation_wf1=0.5734 cls=0.8617 jepa=3.4930
epoch=050 train_wf1=0.6157 validation_wf1=0.5847 cls=0.8819 jepa=3.4994
epoch=051 train_wf1=0.6530 validation_wf1=0.5830 cls=0.8459 jepa=3.5001
epoch=052 train_wf1=0.6276 validation_wf1=0.5763 cls=0.8504 jepa=3.5073
epoch=053 train_wf1=0.6409 validation_wf1=0.6021 cls=0.8366 jepa=3.5241
