dataset,rate,mode,section,modality,metric,n_seeds,mean,sample_std
iemocap4,0.3,fixed0.8,retention,visual,err_decay,5,0.19896297199505866,0.010627690225408886
iemocap4,0.3,fixed0.8,task,,accuracy,5,0.8253021756647865,0.007524652718729252
iemocap4,0.3,fixed0.8,task,,macro_f1,5,0.8176388382681608,0.007099433738929675
iemocap4,0.3,fixed0.8,task,,weighted_f1,5,0.8251969503052723,0.0067212920565480954
iemocap4,0.3,fixed0.9,current_observed_write_fit,audio,err_after,5,0.07408018216963344,0.0035912348706359106
iemocap4,0.3,fixed0.9,current_observed_write_fit,text,err_after,5,0.10688221322557312,0.0020112739023264653
iemocap4,0.3,fixed0.9,current_observed_write_fit,visual,err_after,5,0.07048313945035183,0.003573000041621428
iemocap4,0.3,fixed0.9,retention,audio,err_decay,5,0.15089664778541273,0.008723860876541109
iemocap4,0.3,fixed0.9,retention,text,err_decay,5,0.17759947779439522,0.012103864083656806
iemocap4,0.3,fixed0.9,retention,visual,err_decay,5,0.15018244416545146,0.008430659247484998
iemocap4,0.3,fixed0.9,task,,accuracy,5,0.8220789685737309,0.006987746458881156
iemocap4,0.3,fixed0.9,task,,macro_f1,5,0.8143676868125124,0.007608349804688392
iemocap4,0.3,fixed0.9,task,,weighted_f1,5,0.821925043097375,0.006163871495460966
iemocap4,0.3,fixed0.95,current_observed_write_fit,audio,err_after,5,0.03851433145410579,0.0018635377657790033
iemocap4,0.3,fixed0.95,current_observed_write_fit,text,err_after,5,0.05554997501771109,0.0010494390040231027
iemocap4,0.3,fixed0.95,current_observed_write_fit,visual,err_after,5,0.036585401836168055,0.0018743645690932084
iemocap4,0.3,fixed0.95,retention,audio,err_decay,5,0.12606228071899955,0.009032595960961504
iemocap4,0.3,fixed0.95,retention,text,err_decay,5,0.1379901873256933,0.013479519148195795
iemocap4,0.3,fixed0.95,retention,visual,err_decay,5,0.12721745025881806,0.00820846753894251
iemocap4,0.3,fixed0.95,task,,accuracy,5,0.821917808219178,0.006293513034574244
iemocap4,0.3,fixed0.95,task,,macro_f1,5,0.8138986041200351,0.007169494876263983
iemocap4,0.3,fixed0.95,task,,weighted_f1,5,0.8217278562593208,0.005569241537014293
iemocap4,0.3,reference,current_observed_write_fit,audio,err_after,5,0.0017095100868207828,7.297340823771487e-05
