dataset,missing_rate,target_modality,missing_count,no_history_count,no_history_ratio
CMUMOSI,0.7,audio,420,49,0.11666666666666667
CMUMOSI,0.7,text,377,28,0.07427055702917772
CMUMOSI,0.7,visual,397,40,0.10075566750629723
